date,id,groupId,title,amount,display
11/1/2016,0d566332-e23f-4ccc-8bf5-62e35a26cf63,ff5586de-07c8-46cc-9f1f-89d5212c2931,ESSEN                  NEW YORK      NY 16303,-4,Essen
4/12/2017,af625397-4b2a-4155-b72f-6cc5e38f47ee,fe6059e7-01e6-4bfc-a1d8-1798cbfd964b,AMAZON MKTPLACE PMTS   AMZN.COM/BILL WA 17101,-195,Amazon
3/21/2017,49aecd34-3644-4c6a-b719-886bf00bfd6e,fe6059e7-01e6-4bfc-a1d8-1798cbfd964b,AMAZON MKTPLACE PMTS   AMAZON MKTPLA WA 17079,-286,
3/2/2017,6c67bede-23cd-46e5-8ea9-8858f3e453ac,fe6059e7-01e6-4bfc-a1d8-1798cbfd964b,AmazonPrime Membership 8665572820    WA 17060,-107,
1/4/2017,91747a3c-d34a-4dec-b293-c68ee6808311,fe6059e7-01e6-4bfc-a1d8-1798cbfd964b,Amazon Video On Demand AMZN.COM/bill WA 17002,-19,
12/30/2016,c21870f7-7878-4773-b155-21d1817d964e,fe6059e7-01e6-4bfc-a1d8-1798cbfd964b,Amazon Video On Demand AMZN.COM/bill WA 16364,-4,
10/18/2016,88f305b7-74a0-468e-bc20-992d06f27976,fe6059e7-01e6-4bfc-a1d8-1798cbfd964b,Amazon Video On Demand AMZN.COM/bill WA 16291,-19,
10/4/2016,5c7f940d-242b-4599-840f-36caf816291a,fe6059e7-01e6-4bfc-a1d8-1798cbfd964b,Amazon Video On Demand AMZN.COM/bill WA 16277,-14,
9/27/2016,bd7d6d63-bec5-44d0-863e-1207b5eb129f,fe6059e7-01e6-4bfc-a1d8-1798cbfd964b,AMAZON MKTPLACE PMTS   AMZN.COM/BILL WA 16270,-100,
8/10/2016,e6944ee9-0c57-4448-888e-7224bbd962ba,fe6059e7-01e6-4bfc-a1d8-1798cbfd964b,AMAZON MKTPLACE PMTS   AMZN.COM/BILL WA 16222,-45,
8/9/2016,7eb41721-7d47-47df-9164-0301710fcee7,fe6059e7-01e6-4bfc-a1d8-1798cbfd964b,Amazon Video On Demand AMZN.COM/bill WA 16221,-6,
6/21/2016,1747db86-b0e8-4bb5-aad6-bf245d90c699,fe6059e7-01e6-4bfc-a1d8-1798cbfd964b,AMAZON VIDEO ON DEMAND 866-216-1072  WA 16172,-5,
6/1/2016,91dc0e8a-d4b4-4ab2-a0ab-372b4b169fed,fe6059e7-01e6-4bfc-a1d8-1798cbfd964b,Amazon Digital Svcs    866-216-1072  WA 16149,-65,
5/17/2016,7911d1cc-f30d-40f0-a846-0996d5f5cc70,fe6059e7-01e6-4bfc-a1d8-1798cbfd964b,AMAZON VIDEO ON DEMAND 866-216-1072  WA 16137,-5,
4/15/2016,abdc05f6-384e-4768-ade4-703cfe58c1bb,fe6059e7-01e6-4bfc-a1d8-1798cbfd964b,Amazon Services-Kindle 866-321-8851  WA 16105,-9,
12/14/2015,d51991f3-6502-4efe-915d-a2a1dd3932f6,fe6059e7-01e6-4bfc-a1d8-1798cbfd964b,AMAZON MKTPLACE PMTS   AMZN.COM/BILL WA 15345,-11,
12/14/2015,3ca65175-3f1e-47ff-9b6c-5ef940143049,fe6059e7-01e6-4bfc-a1d8-1798cbfd964b,AMAZON MKTPLACE PMTS   AMZN.COM/BILL WA 15345,-116,
12/14/2015,e9f2d8c2-1ca0-4b36-9e8f-3515a5faa719,fe6059e7-01e6-4bfc-a1d8-1798cbfd964b,AMAZON MKTPLACE PMTS   AMZN.COM/BILL WA 15345,-234,
